"claim_id","orig_conv_r","orig_sample_size_value","orig_stat_type","orig_stat_value","orig_stat_dof_1","paper_id","repli_type","repli_sample_size_value","repli_conv_r","repli_score_criteria_met","t_from_stat","t_from_r","t_orig","abs_t","t_source","discipline","safeguard_defined","markup_approx","r_sg","N_naive","N_safeguard","markup","ratio_obs_safeguard"
"wRvv_gld3y5",0.127273053346893,110732,"t",33.502,NA,"wRvv","secondary data",89939,0.146537833365586,TRUE,33.502,42.6987692919496,33.502,33.502,"direct_stat","political science",TRUE,1.05220178590421,0.124075760523825,482,507,1.05186721991701,177.394477317554
"wRvv_gxvxw2",0.0239985367107989,110732,"t",6.267,NA,"wRvv","secondary data",89939,0.0105225320296691,TRUE,6.267,7.98808190740627,6.267,6.267,"direct_stat","political science",TRUE,1.33431774810633,0.0207756744049927,13626,18182,1.33436078086012,4.94659553404466
"wRvv_m328ro",0.0229784304469016,110732,"t",6,NA,"wRvv","secondary data",90130,0.0346440044041273,TRUE,6,7.64834899176531,6,6,"direct_stat","political science",TRUE,1.35293223550673,0.0197552412838531,14862,20109,1.35304804198627,4.48207270376448
"wRvv_m7zd6r",0.159465681386773,110732,"t",42.148,NA,"wRvv","secondary data",90286,0.164611817876013,TRUE,42.148,53.7518242977475,42.148,42.148,"direct_stat","political science",TRUE,1.04116532669523,0.156281432941264,306,319,1.04248366013072,283.028213166144
"wRvv_single-trace",0.131804697998475,110732,"t",34.6938775510204,NA,"wRvv","secondary data",17134,0.15979913710646,TRUE,34.6938775510204,44.245497065816,34.6938775510204,34.6938775510204,"direct_stat","political science",TRUE,1.0503412978171,0.128607314472894,449,472,1.05122494432071,36.3008474576271
"x0pA_single-trace",-0.10304075339612,8808,"z",-9.72222222222222,NA,"x0pA","secondary data",1980,-0.191268562697589,TRUE,-9.72222222222222,-9.72111836502624,-9.72222222222222,9.72222222222222,"direct_stat","sociology and criminology",TRUE,1.19852299935246,-0.0941208496951634,737,883,1.19810040705563,2.24235560588901
"x3KP_single-trace",-0.317744699554345,85,"z",-3.08957455199006,NA,"x3KP","new data",101,-0.56,TRUE,-3.08957455199006,-3.05301025165671,-3.08957455199006,3.08957455199006,"direct_stat","psychology and health",TRUE,1.8889600886594,-0.231188870750042,75,144,1.92,0.701388888888889
"xYbO_single-trace",0.1810787090119,368,"F",6.17,2,"xYbO","new data",1502,0.0403721709285555,FALSE,NA,3.52247103576484,3.52247103576484,3.52247103576484,"r_conversion","political science",TRUE,1.72643366419495,0.137813715515851,237,411,1.73417721518987,3.65450121654501
"xvrb_single-trace",0.480413469262962,276,"chi_squared",63.7,3,"xvrb","new data",247,0.241763092122331,TRUE,NA,9.0671332991591,9.0671332991591,9.0671332991591,"r_conversion","psychology and health",TRUE,1.21510585493606,0.435820965404699,31,39,1.25806451612903,6.33333333333333
"y3R4_single-trace",0.142098427854801,200,"t",2.02,198,"y3R4","new data",2060,-0.0292169848808828,FALSE,2.02,2.02,2.02,2.02,"direct_stat","business",TRUE,2.93854890209954,0.0828939456073111,386,1140,2.95336787564767,1.80701754385965
