"rho","median_N","selected","rep","retained","solver_excluded"
0.1,500,FALSE,96,174,0
0.1,500,FALSE,97,177,0
0.1,500,FALSE,98,184,0
0.1,500,FALSE,99,171,0
0.1,500,FALSE,100,171,0
0.3,500,FALSE,1,200,0
0.3,500,FALSE,2,200,0
0.3,500,FALSE,3,200,0
0.3,500,FALSE,4,200,0
0.3,500,FALSE,5,200,0
0.3,500,FALSE,6,200,0
0.3,500,FALSE,7,200,0
0.3,500,FALSE,8,200,0
0.3,500,FALSE,9,199,0
0.3,500,FALSE,10,200,0
0.3,500,FALSE,11,200,0
0.3,500,FALSE,12,200,0
0.3,500,FALSE,13,200,0
0.3,500,FALSE,14,199,0
0.3,500,FALSE,15,200,0
0.3,500,FALSE,16,199,0
0.3,500,FALSE,17,200,0
0.3,500,FALSE,18,200,0
0.3,500,FALSE,19,200,0
0.3,500,FALSE,20,200,0
0.3,500,FALSE,21,200,0
0.3,500,FALSE,22,199,0
0.3,500,FALSE,23,200,0
0.3,500,FALSE,24,200,0
0.3,500,FALSE,25,200,0
0.3,500,FALSE,26,200,0
0.3,500,FALSE,27,200,0
0.3,500,FALSE,28,200,0
0.3,500,FALSE,29,200,0
0.3,500,FALSE,30,200,0
0.3,500,FALSE,31,200,0
0.3,500,FALSE,32,200,0
0.3,500,FALSE,33,199,0
0.3,500,FALSE,34,200,0
0.3,500,FALSE,35,200,0
0.3,500,FALSE,36,200,0
0.3,500,FALSE,37,200,0
0.3,500,FALSE,38,200,0
0.3,500,FALSE,39,199,0
0.3,500,FALSE,40,200,0
0.3,500,FALSE,41,200,0
0.3,500,FALSE,42,199,0
0.3,500,FALSE,43,200,0
0.3,500,FALSE,44,200,0
0.3,500,FALSE,45,200,0
0.3,500,FALSE,46,200,0
0.3,500,FALSE,47,200,0
0.3,500,FALSE,48,200,0
0.3,500,FALSE,49,200,0
0.3,500,FALSE,50,200,0
0.3,500,FALSE,51,200,0
0.3,500,FALSE,52,200,0
0.3,500,FALSE,53,200,0
0.3,500,FALSE,54,200,0
0.3,500,FALSE,55,200,0
0.3,500,FALSE,56,200,0
0.3,500,FALSE,57,200,0
0.3,500,FALSE,58,200,0
0.3,500,FALSE,59,199,0
0.3,500,FALSE,60,200,0
0.3,500,FALSE,61,200,0
0.3,500,FALSE,62,200,0
0.3,500,FALSE,63,200,0
0.3,500,FALSE,64,200,0
0.3,500,FALSE,65,200,0
0.3,500,FALSE,66,200,0
0.3,500,FALSE,67,199,0
0.3,500,FALSE,68,200,0
0.3,500,FALSE,69,199,0
0.3,500,FALSE,70,200,0
0.3,500,FALSE,71,200,0
0.3,500,FALSE,72,200,0
0.3,500,FALSE,73,200,0
0.3,500,FALSE,74,200,0
0.3,500,FALSE,75,200,0
0.3,500,FALSE,76,199,0
0.3,500,FALSE,77,200,0
0.3,500,FALSE,78,199,0
0.3,500,FALSE,79,200,0
0.3,500,FALSE,80,200,0
0.3,500,FALSE,81,200,0
0.3,500,FALSE,82,200,0
0.3,500,FALSE,83,199,0
0.3,500,FALSE,84,199,0
0.3,500,FALSE,85,200,0
0.3,500,FALSE,86,200,0
0.3,500,FALSE,87,200,0
0.3,500,FALSE,88,200,0
0.3,500,FALSE,89,200,0
0.3,500,FALSE,90,200,0
0.3,500,FALSE,91,200,0
0.3,500,FALSE,92,200,0
0.3,500,FALSE,93,200,0
0.3,500,FALSE,94,200,0
0.3,500,FALSE,95,200,0
0.3,500,FALSE,96,200,0
0.3,500,FALSE,97,200,0
0.3,500,FALSE,98,200,0
0.3,500,FALSE,99,200,0
0.3,500,FALSE,100,200,0
0.1,100,TRUE,1,48,0
0.1,100,TRUE,2,38,0
0.1,100,TRUE,3,51,0
0.1,100,TRUE,4,34,0
0.1,100,TRUE,5,39,0
0.1,100,TRUE,6,40,0
0.1,100,TRUE,7,39,0
0.1,100,TRUE,8,33,0
0.1,100,TRUE,9,35,0
0.1,100,TRUE,10,34,0
0.1,100,TRUE,11,43,0
0.1,100,TRUE,12,34,0
0.1,100,TRUE,13,36,0
0.1,100,TRUE,14,43,0
0.1,100,TRUE,15,49,0
0.1,100,TRUE,16,30,0
0.1,100,TRUE,17,40,0
0.1,100,TRUE,18,53,0
0.1,100,TRUE,19,45,0
0.1,100,TRUE,20,40,0
0.1,100,TRUE,21,44,0
0.1,100,TRUE,22,42,0
0.1,100,TRUE,23,38,0
0.1,100,TRUE,24,40,0
0.1,100,TRUE,25,39,0
0.1,100,TRUE,26,40,0
0.1,100,TRUE,27,42,0
0.1,100,TRUE,28,36,0
0.1,100,TRUE,29,37,0
0.1,100,TRUE,30,31,0
0.1,100,TRUE,31,45,0
0.1,100,TRUE,32,43,0
0.1,100,TRUE,33,38,0
0.1,100,TRUE,34,39,0
0.1,100,TRUE,35,34,0
0.1,100,TRUE,36,42,0
0.1,100,TRUE,37,35,0
0.1,100,TRUE,38,38,0
0.1,100,TRUE,39,36,0
0.1,100,TRUE,40,39,0
0.1,100,TRUE,41,42,0
0.1,100,TRUE,42,43,0
0.1,100,TRUE,43,43,0
0.1,100,TRUE,44,43,0
0.1,100,TRUE,45,34,0
0.1,100,TRUE,46,41,0
0.1,100,TRUE,47,43,0
0.1,100,TRUE,48,44,0
0.1,100,TRUE,49,54,0
0.1,100,TRUE,50,43,0
0.1,100,TRUE,51,39,0
0.1,100,TRUE,52,41,0
0.1,100,TRUE,53,35,0
0.1,100,TRUE,54,41,0
0.1,100,TRUE,55,46,0
0.1,100,TRUE,56,43,0
0.1,100,TRUE,57,48,0
0.1,100,TRUE,58,36,0
0.1,100,TRUE,59,48,0
0.1,100,TRUE,60,36,0
0.1,100,TRUE,61,38,0
0.1,100,TRUE,62,41,0
0.1,100,TRUE,63,37,0
0.1,100,TRUE,64,57,0
0.1,100,TRUE,65,46,0
0.1,100,TRUE,66,52,0
0.1,100,TRUE,67,41,0
0.1,100,TRUE,68,33,0
0.1,100,TRUE,69,44,0
0.1,100,TRUE,70,36,0
