"rho","median_N","selected","rep","rule","n","portfolio","conditioned","condition_number","attainment","median_ratio"
0.1,100,FALSE,14,"point",115,-0.00382243839760366,0.00368936203119612,64.215466659016,0,0.219821512447158
0.1,100,FALSE,14,"safeguard",115,0.996458766351563,1.00384768644214,64.215466659016,0.51304347826087,1.00408163265306
0.1,100,FALSE,14,"original_size",115,-0.393930222232455,0.00358454020055458,64.215466659016,0.121739130434783,0.138759689922481
0.1,100,FALSE,14,"capped_safeguard",115,-0.0241112822024469,-0.186889828565991,64.215466659016,0.0695652173913043,0.280112044817927
0.1,100,FALSE,15,"point",122,0.00777598043194479,0.0148542783026717,56.0909193857086,0,0.201747750495653
0.1,100,FALSE,15,"safeguard",122,1.00765623716557,1.01463711470244,56.0909193857086,0.491803278688525,0.980357652213352
0.1,100,FALSE,15,"original_size",122,-0.369606011609322,0.0140680980406725,56.0909193857086,0.0491803278688525,0.131086580463704
0.1,100,FALSE,15,"capped_safeguard",122,-0.0191873347435989,-0.214866844377801,56.0909193857086,0.0737704918032787,0.297492953788248
0.1,100,FALSE,16,"point",117,0.0148186447118634,0.0136570197398627,63.4761902566481,0,0.226306306306306
0.1,100,FALSE,16,"safeguard",117,1.01485264034609,1.01369413535282,63.4761902566481,0.538461538461538,1.00558454637004
0.1,100,FALSE,16,"original_size",117,-0.258001055550656,0.0136884300038528,63.4761902566481,0.0598290598290598,0.164335664335664
0.1,100,FALSE,16,"capped_safeguard",117,-0.00412334410138437,-0.0795074758400568,63.4761902566481,0.170940170940171,0.311720698254364
0.1,100,FALSE,17,"point",123,-0.00789343794734899,-0.0019089526566671,53.1371654270087,0,0.217989712220214
0.1,100,FALSE,17,"safeguard",123,0.992229797083659,0.99814215430393,53.1371654270087,0.520325203252033,1.00384615384615
0.1,100,FALSE,17,"original_size",123,-0.313337420196176,-0.00173705130480542,53.1371654270087,0.105691056910569,0.155172413793103
0.1,100,FALSE,17,"capped_safeguard",123,0.00162155489258583,-0.108314109064485,53.1371654270087,0.138211382113821,0.330906684315023
0.1,100,FALSE,18,"point",110,-0.0164789482745353,-0.0337417690783834,70.0018478644539,0,0.209555822328932
0.1,100,FALSE,18,"safeguard",110,0.983439990356994,0.966327598961657,70.0018478644539,0.472727272727273,0.988548971220094
0.1,100,FALSE,18,"original_size",110,-0.331941516258415,-0.0334888034339682,70.0018478644539,0.0727272727272727,0.128830454982458
0.1,100,FALSE,18,"capped_safeguard",110,-0.0109443573438297,-0.0890172477497624,70.0018478644539,0.0818181818181818,0.278814622046525
0.1,100,FALSE,19,"point",121,-0.00943112348381776,-0.0035339789637574,62.5196571764892,0,0.215434083601286
0.1,100,FALSE,19,"safeguard",121,0.99077600888558,0.996857410621227,62.5196571764892,0.487603305785124,0.992045956694653
0.1,100,FALSE,19,"original_size",121,-0.275170032479786,-0.00335975566800843,62.5196571764892,0.0661157024793388,0.139967373572594
0.1,100,FALSE,19,"capped_safeguard",121,-0.0174792025620288,-0.0842784475723577,62.5196571764892,0.0909090909090909,0.283607487237663
0.1,100,FALSE,20,"point",128,-0.00209162053389675,-0.000302936781380003,63.2322290489849,0,0.246928339471704
0.1,100,FALSE,20,"safeguard",128,0.997861122688498,0.99960399124784,63.2322290489849,0.5703125,1.02545778829331
0.1,100,FALSE,20,"original_size",128,-0.276002869729939,-0.000382324569519585,63.2322290489849,0.078125,0.167432030668203
0.1,100,FALSE,20,"capped_safeguard",128,-0.0106254094021471,-0.0681770278159014,63.2322290489849,0.1484375,0.371570290277557
